로그일자,로그시간,장치그룹,IP,침수레벨1,침수레벨2,침수레벨3,수위값 (cm),수위상태,통신상태
2021-08-25,17:54:01,우장춘지하차도,10.7.135.236,침수,,,3,정상,정상
2021-08-25,17:53:41,우장춘지하차도,10.7.135.236,침수,,,4,정상,정상
2021-08-25,17:53:21,우장춘지하차도,10.7.135.236,침수,,,4,정상,정상
2021-08-25,17:53:01,우장춘지하차도,10.7.135.236,침수,,,4,정상,정상
2021-08-25,17:52:41,우장춘지하차도,10.7.135.236,침수,,,4,정상,정상
2021-08-25,17:52:21,우장춘지하차도,10.7.135.236,침수,,,4,정상,정상
2021-08-25,17:52:01,우장춘지하차도,10.7.135.236,침수,,,4,정상,정상
2021-08-25,17:51:41,우장춘지하차도,10.7.135.236,침수,,,4,정상,정상
2021-08-25,17:51:21,우장춘지하차도,10.7.135.236,침수,,,3,정상,정상
2021-08-25,17:51:01,우장춘지하차도,10.7.135.236,침수,,,3,정상,정상
2021-08-25,17:50:41,우장춘지하차도,10.7.135.236,침수,,,3,정상,정상
2021-08-25,17:05:01,우장춘지하차도,10.7.135.236,침수,,,4,정상,정상
2021-08-25,17:04:41,우장춘지하차도,10.7.135.236,침수,,,6,정상,정상
2021-08-25,17:04:21,우장춘지하차도,10.7.135.236,침수,,,6,정상,정상
2021-08-25,17:04:01,우장춘지하차도,10.7.135.236,침수,,,4,정상,정상
2021-08-25,17:03:41,우장춘지하차도,10.7.135.236,침수,,,4,정상,정상
2021-08-25,17:03:21,우장춘지하차도,10.7.135.236,침수,,,6,정상,정상
2021-08-25,17:03:01,우장춘지하차도,10.7.135.236,침수,,,7,정상,정상
2021-08-25,17:02:41,우장춘지하차도,10.7.135.236,침수,,,7,정상,정상
2021-08-25,17:02:21,우장춘지하차도,10.7.135.236,침수,,,7,정상,정상
2021-08-25,17:02:01,우장춘지하차도,10.7.135.236,침수,,,6,정상,정상
2021-08-25,17:01:41,우장춘지하차도,10.7.135.236,침수,,,7,정상,정상
2021-08-25,17:01:21,우장춘지하차도,10.7.135.236,침수,,,7,정상,정상
2021-08-25,17:01:01,우장춘지하차도,10.7.135.236,침수,,,6,정상,정상
2021-08-25,17:00:41,우장춘지하차도,10.7.135.236,침수,,,7,정상,정상
2021-08-25,17:00:21,우장춘지하차도,10.7.135.236,침수,,,6,정상,정상
2021-08-25,17:00:01,우장춘지하차도,10.7.135.236,침수,,,8,정상,정상
2021-08-25,16:59:41,우장춘지하차도,10.7.135.236,침수,,,10,정상,정상
2021-08-25,16:59:21,우장춘지하차도,10.7.135.236,침수,,,11,비정상,정상
2021-08-25,16:59:01,우장춘지하차도,10.7.135.236,침수,,,9,정상,정상
2021-08-25,16:58:41,우장춘지하차도,10.7.135.236,침수,,,11,비정상,정상
2021-08-25,16:58:21,우장춘지하차도,10.7.135.236,침수,,,9,정상,정상
2021-08-25,16:58:01,우장춘지하차도,10.7.135.236,침수,,,16,비정상,정상
2021-08-25,16:57:41,우장춘지하차도,10.7.135.236,침수,,,16,비정상,정상
2021-08-25,16:57:21,우장춘지하차도,10.7.135.236,침수,,,16,비정상,정상
2021-08-25,16:57:01,우장춘지하차도,10.7.135.236,침수,,,16,비정상,정상
2021-08-25,16:56:41,우장춘지하차도,10.7.135.236,침수,,,16,비정상,정상
2021-08-25,16:56:21,우장춘지하차도,10.7.135.236,침수,,,16,비정상,정상
2021-08-25,16:56:01,우장춘지하차도,10.7.135.236,침수,,,15,비정상,정상
2021-08-25,16:55:41,우장춘지하차도,10.7.135.236,침수,,,14,비정상,정상
2021-08-25,16:55:21,우장춘지하차도,10.7.135.236,침수,,,14,비정상,정상
2021-08-25,16:55:01,우장춘지하차도,10.7.135.236,침수,,,13,비정상,정상
2021-08-25,16:54:41,우장춘지하차도,10.7.135.236,침수,,,10,정상,정상
2021-08-25,16:54:21,우장춘지하차도,10.7.135.236,침수,,,12,비정상,정상
2021-08-25,16:54:01,우장춘지하차도,10.7.135.236,침수,,,8,정상,정상
2021-08-25,16:53:41,우장춘지하차도,10.7.135.236,침수,,,5,정상,정상
2021-08-25,16:53:21,우장춘지하차도,10.7.135.236,침수,,,6,정상,정상
2021-08-25,16:53:01,우장춘지하차도,10.7.135.236,침수,,,9,정상,정상
2021-08-25,16:52:41,우장춘지하차도,10.7.135.236,침수,,,7,정상,정상
2021-08-25,16:52:21,우장춘지하차도,10.7.135.236,침수,,,7,정상,정상
2021-08-25,16:52:01,우장춘지하차도,10.7.135.236,침수,,,5,정상,정상
2021-08-25,16:51:41,우장춘지하차도,10.7.135.236,침수,,,5,정상,정상
2021-08-25,16:51:21,우장춘지하차도,10.7.135.236,침수,,,5,정상,정상
2021-08-25,16:51:01,우장춘지하차도,10.7.135.236,침수,,,5,정상,정상
2021-08-25,16:50:41,우장춘지하차도,10.7.135.236,침수,,,5,정상,정상
2021-08-25,16:50:21,우장춘지하차도,10.7.135.236,침수,,,4,정상,정상
2021-08-25,16:50:01,우장춘지하차도,10.7.135.236,침수,,,4,정상,정상
2021-06-18,13:13:01,우장춘지하차도,10.7.135.236,침수,,,12,비정상,정상
2021-06-18,13:12:31,우장춘지하차도,10.7.135.236,침수,,,11,비정상,정상
2021-06-18,13:12:01,우장춘지하차도,10.7.135.236,침수,,,11,비정상,정상
2021-06-18,13:11:31,우장춘지하차도,10.7.135.236,침수,,,11,비정상,정상
2021-06-18,13:11:01,우장춘지하차도,10.7.135.236,침수,,,10,정상,정상
2021-06-18,13:10:31,우장춘지하차도,10.7.135.236,침수,,,4,정상,정상
2021-06-18,13:10:01,우장춘지하차도,10.7.135.236,침수,,,4,정상,정상
2021-06-18,13:09:31,우장춘지하차도,10.7.135.236,침수,,,4,정상,정상
2021-06-18,13:09:01,우장춘지하차도,10.7.135.236,침수,,,4,정상,정상
2021-06-18,13:08:31,우장춘지하차도,10.7.135.236,침수,,,5,정상,정상
2021-06-18,13:08:01,우장춘지하차도,10.7.135.236,침수,,,6,정상,정상
2021-06-18,13:07:31,우장춘지하차도,10.7.135.236,침수,,,7,정상,정상
2021-06-18,13:07:01,우장춘지하차도,10.7.135.236,침수,,,5,정상,정상
2021-06-18,13:06:31,우장춘지하차도,10.7.135.236,침수,,,9,정상,정상
2021-06-16,14:48:31,우장춘지하차도,10.7.135.236,침수,침수,침수,4,비정상,정상
2021-06-16,14:48:01,우장춘지하차도,10.7.135.236,,,,4,비정상,정상
2021-06-16,14:45:31,우장춘지하차도,10.7.135.236,침수,침수,,4,비정상,정상
2021-06-16,14:44:31,우장춘지하차도,10.7.135.236,침수,,,4,정상,정상
2021-06-16,14:13:31,우장춘지하차도,10.7.135.236,침수,,,4,정상,정상
2021-06-16,14:03:01,우장춘지하차도,10.7.135.236,침수,,,4,정상,정상
2021-06-16,14:02:31,우장춘지하차도,10.7.135.236,침수,,,4,정상,정상
2021-06-16,14:02:01,우장춘지하차도,10.7.135.236,침수,,,4,정상,정상
2021-06-16,14:01:31,우장춘지하차도,10.7.135.236,침수,,,4,정상,정상